eps,hp_idx,accuracy
None,0,0.7148204545318986
None,1,0.10032272678433855
None,2,0.7682339983753182
None,3,0.09908274932230293
None,4,0.6500536649424543
None,5,0.1108815237299445
None,6,0.09908274932230293
None,7,0.09908274932230293
None,8,0.09908274932230293
None,9,0.09908274932230295
None,10,0.839732362439355
None,11,0.9015124784878966
None,12,0.8356612188030459
None,13,0.9170412604368601
None,14,0.8711945793403353
None,15,0.9237620460046495
None,16,0.9275843176775973
None,17,0.971597057972492
None,18,0.9456907132711598
None,19,0.9696045401173632
None,20,0.8114028589657847
None,21,0.8812516385669265
None,22,0.8052560360170702
None,23,0.8882231120985583
None,24,0.8187150454295703
None,25,0.9186166286361734
None,26,0.907579472423788
None,27,0.9670299564150056
None,28,0.9144665189846978
None,29,0.9686926401654768
None,30,0.1108815237299445
None,31,0.13346769571844153
None,32,0.13247648076310428
None,33,0.12707411953206987
None,34,0.12972401576717127
None,35,0.20504142910105627
None,36,0.16277649108330147
None,37,0.636864684594038
None,38,0.20715763452811298
None,39,0.5605762733605154
None,40,0.09882773871962801
None,41,0.1072108773048587
None,42,0.10695749929708571
None,43,0.10912923856007793
None,44,0.07996849716171063
None,45,0.14399052886617772
None,46,0.10538211538635135
None,47,0.19341174245795575
None,48,0.11437114601552713
None,49,0.28327083835991457
None,50,0.13404725683057153
None,51,0.08794477091515392
None,52,0.11220160632886801
None,53,0.08355318969775677
None,54,0.06312865583943827
None,55,0.08954147006082233
None,56,0.12183557756835608
None,57,0.12398929131165791
None,58,0.10074494958247118
None,59,0.09732940075141897
None,60,0.1009842283162244
None,61,0.1084738447486531
None,62,0.09693121216031984
None,63,0.0879518262931689
None,64,0.0850407190324426
None,65,0.10473589766281281
None,66,0.09981491214286382
None,67,0.1301453709806545
None,68,0.12715354888634353
None,69,0.10215826047131243
None,70,0.09086244035329052
None,71,0.11344049715899658
None,72,0.09908274932230293
None,73,0.09824137440059635
None,74,0.07880961092598703
None,75,0.0926061683522039
None,76,0.10324328658601044
None,77,0.11036882920822406
None,78,0.12973563945609354
None,79,0.08737606607751547
None,80,0.09011455564886377
None,81,0.10471839432282848
None,82,0.10430569768345381
None,83,0.07142808106195059
None,84,0.10755941553204897
None,85,0.08470156424087318
None,86,0.08712312542046817
None,87,0.14184546104100162
None,88,0.09700613695510064
None,89,0.12309466015254025
None,90,0.09550240319446796
None,91,0.11727472121587545
None,92,0.12987684234468
None,93,0.08313962446609477
None,94,0.09517645345142427
None,95,0.09475978799069046
None,96,0.08686843074720461
None,97,0.10123845522357165
None,98,0.13745181248999333
None,99,0.17140543367180816
