eps,hp_idx,accuracy
None,0,0.7621005897828378
None,1,0.7622525009594793
None,2,0.7621005897828378
None,3,0.762545488471487
None,4,0.7645289252824359
None,5,0.763461232525209
None,6,0.766955553768396
None,7,0.7621005897828378
None,8,0.7662081435112745
None,9,0.7622525009594792
None,10,0.7621005897828379
None,11,0.7709414269000279
None,12,0.7621005897828379
None,13,0.7742945053767478
None,14,0.7621005897828379
None,15,0.7642238762792569
None,16,0.7622525009594792
None,17,0.7645235925371784
None,18,0.7627117787376776
None,19,0.7652791732471617
None,20,0.7621005897828378
None,21,0.7621005897828378
None,22,0.7621005897828378
None,23,0.7621005897828378
None,24,0.7621005897828379
None,25,0.7621005897828379
None,26,0.7621005897828377
None,27,0.7734521076576586
None,28,0.7621005897828379
None,29,0.7754397404071564
None,30,0.7608758149700465
None,31,0.7621005897828378
None,32,0.24096904995593413
None,33,0.7621005897828378
None,34,0.2383721211498118
None,35,0.762398994715483
None,36,0.7590488894616557
None,37,0.7621005897828377
None,38,0.23789941021716215
None,39,0.7621005897828378
None,40,0.23789941021716213
None,41,0.23789941021716215
None,42,0.5029539782515258
None,43,0.23789941021716215
None,44,0.23789941021716215
None,45,0.4393108974948302
None,46,0.7608614074881519
None,47,0.7622525009594792
None,48,0.23868025428375103
None,49,0.762252500959479
None,50,0.25300953348530303
None,51,0.23912377959162526
None,52,0.23805310858411702
None,53,0.7557919403657221
None,54,0.23866372841036781
None,55,0.23789941021716215
None,56,0.762253873495925
None,57,0.6311287691645486
None,58,0.7620866573282177
None,59,0.7604144198470162
None,60,0.23789941021716215
None,61,0.23820613192369816
None,62,0.7621005897828379
None,63,0.24540906107381605
None,64,0.49495833191049093
None,65,0.7621005897828378
None,66,0.5258749270630538
None,67,0.23789941021716218
None,68,0.23789941021716215
None,69,0.31044746465621914
None,70,0.47402845588795134
None,71,0.7593453959276013
None,72,0.23789941021716215
None,73,0.23789941021716213
None,74,0.7621005897828377
None,75,0.5976804790993697
None,76,0.7570446996049331
None,77,0.6971912528154122
None,78,0.6142444823258224
None,79,0.7597839252644172
None,80,0.7621005897828379
None,81,0.2588555674903787
None,82,0.7584302561492176
None,83,0.6263208368163976
None,84,0.7621005897828377
None,85,0.7568479684153302
None,86,0.24033756072015108
None,87,0.23789941021716218
None,88,0.47721452741770115
None,89,0.7621005897828379
None,90,0.2501859495088694
None,91,0.26410959266796025
None,92,0.7280987447724221
None,93,0.7556922540433657
None,94,0.4683123893532897
None,95,0.7588620877501009
None,96,0.2365404463792237
None,97,0.6909793564479274
None,98,0.5556350590728302
None,99,0.5144083800601607
