eps,hp_idx,accuracy
None,0,0.2735
None,1,0.2388
None,2,0.3214
None,3,0.2857
None,4,0.36
None,5,0.3058
None,6,0.5513
None,7,0.4266
None,8,0.5435
None,9,0.4252
None,10,0.3482
None,11,0.3492
None,12,0.3783
None,13,0.4233
None,14,0.3867
None,15,0.4429
None,16,0.564
None,17,0.589
None,18,0.5639
None,19,0.5935
None,20,0.332
None,21,0.3591
None,22,0.3593
None,23,0.4161
None,24,0.3631
None,25,0.4339
None,26,0.5354
None,27,0.6027
None,28,0.5447
None,29,0.6002
None,30,0.1239
None,31,0.1913
None,32,0.1184
None,33,0.1833
None,34,0.1058
None,35,0.2246
None,36,0.2353
None,37,0.3572
None,38,0.2432
None,39,0.3577
None,40,0.136
None,41,0.1469
None,42,0.0974
None,43,0.1183
None,44,0.115
None,45,0.1144
None,46,0.1538
None,47,0.2443
None,48,0.1476
None,49,0.2697
None,50,0.0936
None,51,0.0965
None,52,0.078
None,53,0.0885
None,54,0.1026
None,55,0.0982
None,56,0.0963
None,57,0.1021
None,58,0.0982
None,59,0.0916
None,60,0.1142
None,61,0.1089
None,62,0.113
None,63,0.0942
None,64,0.1059
None,65,0.0998
None,66,0.112
None,67,0.102
None,68,0.1078
None,69,0.1015
None,70,0.1142
None,71,0.1139
None,72,0.0642
None,73,0.104
None,74,0.1347
None,75,0.0979
None,76,0.0962
None,77,0.0902
None,78,0.1073
None,79,0.1046
None,80,0.0881
None,81,0.1096
None,82,0.1027
None,83,0.1007
None,84,0.104
None,85,0.0952
None,86,0.115
None,87,0.094
None,88,0.1021
None,89,0.081
None,90,0.0767
None,91,0.1013
None,92,0.1122
None,93,0.0914
None,94,0.1013
None,95,0.0861
None,96,0.0828
None,97,0.0943
None,98,0.0857
None,99,0.1014
