eps,hp_idx,accuracy
None,0,0.1731953219163425
None,1,0.1261847037825138
None,2,0.17520170464935494
None,3,0.1482598609715559
None,4,0.21321977005010181
None,5,0.13069173841030252
None,6,0.3393513666181729
None,7,0.11142208463339576
None,8,0.33087154313991324
None,9,0.10383406916428381
None,10,0.2526242151807737
None,11,0.23354435686041417
None,12,0.27388485901735127
None,13,0.22900200330809323
None,14,0.2840801643909175
None,15,0.2242492952803181
None,16,0.3812619145374539
None,17,0.37400594606785076
None,18,0.3901516021221564
None,19,0.37080595451604664
None,20,0.2599534749754403
None,21,0.21961843052442467
None,22,0.29943452010780763
None,23,0.21071558163382081
None,24,0.2961603003801039
None,25,0.2788819095091799
None,26,0.3979406178604724
None,27,0.4015532265169181
None,28,0.3943284867785555
None,29,0.36179841589781514
None,30,0.11699465340900053
None,31,0.1667369881812282
None,32,0.10406537926748893
None,33,0.2170665204138364
None,34,0.12756297889141016
None,35,0.2365169984036845
None,36,0.1949699851739993
None,37,0.270632279346946
None,38,0.2126333009685116
None,39,0.2767133067929895
None,40,0.11135342879352343
None,41,0.10654891450001851
None,42,0.10004449174695186
None,43,0.1040136333136375
None,44,0.10878282888181055
None,45,0.14000352097312432
None,46,0.139995002790886
None,47,0.23812988557454595
None,48,0.123089828155043
None,49,0.26186463533273013
None,50,0.09050301837871307
None,51,0.10350150531616523
None,52,0.1024054288169654
None,53,0.0989711797937744
None,54,0.09645386192527387
None,55,0.0869126336877523
None,56,0.09232112563324103
None,57,0.08569912013618979
None,58,0.08774692172980307
None,59,0.1040064103835113
None,60,0.1021014545767018
None,61,0.11234184982235718
None,62,0.09495830252275644
None,63,0.08424282075619466
None,64,0.1054619137646009
None,65,0.11138164182191744
None,66,0.077140818930898
None,67,0.103166350205374
None,68,0.10250973216315891
None,69,0.1457253378524859
None,70,0.10118137679775906
None,71,0.10857650113828413
None,72,0.10406370209727156
None,73,0.08986440986985113
None,74,0.1009876161634953
None,75,0.09821615944357776
None,76,0.136162974228699
None,77,0.0996811121936344
None,78,0.10236672434494438
None,79,0.12647301045466075
None,80,0.09768564378729039
None,81,0.10714920577405247
None,82,0.08940396501739926
None,83,0.09350236038509686
None,84,0.08581883227282083
None,85,0.12964429299884916
None,86,0.07992575594037529
None,87,0.1150516229514996
None,88,0.09759327100777712
None,89,0.10383616464350877
None,90,0.09082060282416732
None,91,0.09808521406142182
None,92,0.06595911804497182
None,93,0.09121159865973143
None,94,0.09584026484178598
None,95,0.1018686575921483
None,96,0.1002061390378916
None,97,0.10499190188926633
None,98,0.07934520289979514
None,99,0.08902434298535425
