eps,hp_idx,accuracy
None,0,0.597
None,1,0.47358333333333336
None,2,0.7280833333333333
None,3,0.10116666666666667
None,4,0.8484166666666667
None,5,0.7581666666666667
None,6,0.9593333333333334
None,7,0.10116666666666667
None,8,0.9615
None,9,0.10116666666666667
None,10,0.84425
None,11,0.90425
None,12,0.83775
None,13,0.92575
None,14,0.86425
None,15,0.9416666666666667
None,16,0.9438333333333333
None,17,0.9671666666666666
None,18,0.9415
None,19,0.9679166666666666
None,20,0.7755
None,21,0.8739166666666667
None,22,0.7484166666666666
None,23,0.87975
None,24,0.8460833333333333
None,25,0.908
None,26,0.9223333333333333
None,27,0.9661666666666666
None,28,0.9089166666666667
None,29,0.96475
None,30,0.11725
None,31,0.19516666666666665
None,32,0.17708333333333334
None,33,0.118
None,34,0.1035
None,35,0.21691666666666667
None,36,0.21733333333333332
None,37,0.6093333333333333
None,38,0.13716666666666666
None,39,0.4985
None,40,0.11525
None,41,0.09741666666666667
None,42,0.15716666666666668
None,43,0.09983333333333333
None,44,0.0995
None,45,0.08533333333333333
None,46,0.082
None,47,0.218
None,48,0.14616666666666667
None,49,0.17816666666666667
None,50,0.11491666666666667
None,51,0.10208333333333333
None,52,0.0945
None,53,0.11908333333333333
None,54,0.059083333333333335
None,55,0.050166666666666665
None,56,0.09383333333333334
None,57,0.10116666666666667
None,58,0.09766666666666667
None,59,0.10716666666666666
None,60,0.123
None,61,0.103
None,62,0.1145
None,63,0.0695
None,64,0.089
None,65,0.08325
None,66,0.08091666666666666
None,67,0.0895
None,68,0.11358333333333333
None,69,0.093
None,70,0.10116666666666667
None,71,0.11066666666666666
None,72,0.0555
None,73,0.10275
None,74,0.050416666666666665
None,75,0.083
None,76,0.09766666666666667
None,77,0.099
None,78,0.1225
None,79,0.06166666666666667
None,80,0.14758333333333334
None,81,0.09166666666666666
None,82,0.059
None,83,0.0945
None,84,0.06025
None,85,0.097
None,86,0.075
None,87,0.13708333333333333
None,88,0.10108333333333333
None,89,0.09875
None,90,0.076
None,91,0.1005
None,92,0.09766666666666667
None,93,0.12241666666666666
None,94,0.0945
None,95,0.10325
None,96,0.09983333333333333
None,97,0.11191666666666666
None,98,0.08841666666666667
None,99,0.1335
