eps,hp_idx,accuracy
None,0,0.2345
None,1,0.1993
None,2,0.2615
None,3,0.2553
None,4,0.2776
None,5,0.2817
None,6,0.4779
None,7,0.2843
None,8,0.4752
None,9,0.2873
None,10,0.3006
None,11,0.3166
None,12,0.3234
None,13,0.3216
None,14,0.344
None,15,0.354
None,16,0.4953
None,17,0.5504
None,18,0.4939
None,19,0.5431
None,20,0.2831
None,21,0.3288
None,22,0.2942
None,23,0.3182
None,24,0.3144
None,25,0.3541
None,26,0.4654
None,27,0.5366
None,28,0.4747
None,29,0.5355
None,30,0.1046
None,31,0.1252
None,32,0.1217
None,33,0.1019
None,34,0.1228
None,35,0.1636
None,36,0.1982
None,37,0.2686
None,38,0.1937
None,39,0.2927
None,40,0.07
None,41,0.1116
None,42,0.0909
None,43,0.0993
None,44,0.1022
None,45,0.1065
None,46,0.0978
None,47,0.2239
None,48,0.1141
None,49,0.2173
None,50,0.1032
None,51,0.1013
None,52,0.0999
None,53,0.1099
None,54,0.1474
None,55,0.1185
None,56,0.1032
None,57,0.163
None,58,0.0985
None,59,0.1031
None,60,0.1013
None,61,0.0961
None,62,0.0765
None,63,0.1128
None,64,0.0967
None,65,0.141
None,66,0.0906
None,67,0.1125
None,68,0.0788
None,69,0.0766
None,70,0.0906
None,71,0.1055
None,72,0.1156
None,73,0.1046
None,74,0.0847
None,75,0.1071
None,76,0.1357
None,77,0.0845
None,78,0.0865
None,79,0.0904
None,80,0.0743
None,81,0.1004
None,82,0.0593
None,83,0.1045
None,84,0.1368
None,85,0.1148
None,86,0.1198
None,87,0.1011
None,88,0.094
None,89,0.0997
None,90,0.1106
None,91,0.098
None,92,0.1025
None,93,0.0795
None,94,0.1048
None,95,0.1002
None,96,0.1215
None,97,0.1008
None,98,0.1292
None,99,0.1339
